asv,sample,counts,presence,local,type,species,taxa
ASV_83,FORAGERSBBP4,0,0,BP,FORAGER,SB,Corynebacterium
ASV_85,NURSESDBG2,0,0,BG,NURSE,SD,Tyzzerella
ASV_93,NURSESDBP2,1289,0,BP,NURSE,SD,Lactobacillus
ASV_99,HONEYSBSC2,39756,0,SC,HONEY,SB,Lactobacillaceae
ASV_44,FOODSDSC2,0,0,SC,FOOD,SD,Erysipelatoclostridium
ASV_14,FORAGERSBSC1,30,1,SC,FORAGER,SB,Raoultella
ASV_543,FORAGERSBBP3,0,0,BP,FORAGER,SB,Taibaiella
ASV_12,POLLENSBBP3,5,1,BP,POLLEN,SB,Pectinatus
ASV_439,FORAGERSBBP3,805,0,BP,FORAGER,SB,Bifidobacteriaceae
ASV_543,LARVAE1SDBP2,0,0,BP,LARVAE,SD,Taibaiella
ASV_12,HONEYSBBG2,0,0,BG,HONEY,SB,Pectinatus
ASV_93,NURSESBSC1,2333,1,SC,NURSE,SB,Lactobacillus
ASV_60,FOODSDBG1,4,0,BG,FOOD,SD,Enterobacterales
ASV_44,FORAGERSBBP4,0,0,BP,FORAGER,SB,Erysipelatoclostridium
ASV_44,FORAGERSBSC2,0,0,SC,FORAGER,SB,Erysipelatoclostridium
ASV_30,GUARDSBSC2,0,0,SC,GUARD,SB,Klebsiella
ASV_93,LARVAE1SDBP2,0,0,BP,LARVAE,SD,Lactobacillus
ASV_55,POLLENSDSC1,0,0,SC,POLLEN,SD,Bombilactobacillus
ASV_543,NURSESDBP2,0,0,BP,NURSE,SD,Taibaiella
ASV_76,POLLENSDSC1,0,0,SC,POLLEN,SD,Sphingobacterium
ASV_30,NURSESBBG1,0,0,BG,NURSE,SB,Klebsiella
ASV_439,FOODSDSC1,0,0,SC,FOOD,SD,Bifidobacteriaceae
ASV_60,FOODSBSC2,0,0,SC,FOOD,SB,Enterobacterales
ASV_439,FOODSBBG2,0,0,BG,FOOD,SB,Bifidobacteriaceae
ASV_99,FOODSDSC2,28728,0,SC,FOOD,SD,Lactobacillaceae
ASV_439,GUARDSDSC1,471,0,SC,GUARD,SD,Bifidobacteriaceae
ASV_543,POLLENSDBG2,0,0,BG,POLLEN,SD,Taibaiella
ASV_14,HONEYSBBP4,131,1,BP,HONEY,SB,Raoultella
ASV_85,NURSESBSC2,0,0,SC,NURSE,SB,Tyzzerella
ASV_76,LARVAE1SBBP4,0,0,BP,LARVAE,SB,Sphingobacterium
ASV_17,HONEYSBBP4,967,1,BP,HONEY,SB,Floricoccus
ASV_99,GUARDSBBP3,115,0,BP,GUARD,SB,Lactobacillaceae
ASV_96,HONEYSBBG2,5,0,BG,HONEY,SB,Micrococcaceae
ASV_44,HONEYSDBG1,0,0,BG,HONEY,SD,Erysipelatoclostridium
ASV_55,NURSESDBP2,329,1,BP,NURSE,SD,Bombilactobacillus
ASV_99,HONEYSBBG2,27183,0,BG,HONEY,SB,Lactobacillaceae
ASV_96,GUARDSDSC1,198,0,SC,GUARD,SD,Micrococcaceae
ASV_17,GUARDSBSC2,42,1,SC,GUARD,SB,Floricoccus
ASV_55,FORAGERSBSC2,149,0,SC,FORAGER,SB,Bombilactobacillus
ASV_60,NURSESDBP2,0,0,BP,NURSE,SD,Enterobacterales
ASV_62,NURSESBBP3,10,0,BP,NURSE,SB,Acinetobacter
ASV_86,LARVAESDSC1,0,0,SC,LARVAE,SD,Acetobacteraceae
ASV_86,FOODSDBP2,1549,0,BP,FOOD,SD,Acetobacteraceae
ASV_71,FORAGERSBSC2,0,0,SC,FORAGER,SB,Weissella
ASV_76,POLLENSDBG1,0,0,BG,POLLEN,SD,Sphingobacterium
ASV_30,GUARDSBBP3,0,0,BP,GUARD,SB,Klebsiella
ASV_71,FORAGERSDBP2,13,1,BP,FORAGER,SD,Weissella
ASV_484,NURSESDBG2,0,0,BG,NURSE,SD,Bifidobacterium
ASV_71,POLLENSDSC2,0,0,SC,POLLEN,SD,Weissella
ASV_14,NURSESDBP1,0,0,BP,NURSE,SD,Raoultella
ASV_62,NURSESDBP2,0,0,BP,NURSE,SD,Acinetobacter
ASV_71,FOODSDBG1,0,0,BG,FOOD,SD,Weissella
ASV_86,NURSESDSC2,210,1,SC,NURSE,SD,Acetobacteraceae
ASV_14,FORAGERSDSC2,0,0,SC,FORAGER,SD,Raoultella
ASV_439,LARVAE1SBBP4,0,0,BP,LARVAE,SB,Bifidobacteriaceae
ASV_12,FOODSBSC2,0,0,SC,FOOD,SB,Pectinatus
ASV_484,FORAGERSDBG1,672,0,BG,FORAGER,SD,Bifidobacterium
ASV_60,FOODSBBG2,0,0,BG,FOOD,SB,Enterobacterales
ASV_12,FORAGERSDBG1,1315,1,BG,FORAGER,SD,Pectinatus
ASV_14,POLLENSDBG1,35,1,BG,POLLEN,SD,Raoultella
ASV_62,NURSESBSC1,0,0,SC,NURSE,SB,Acinetobacter
ASV_71,HONEYSBBG2,0,0,BG,HONEY,SB,Weissella
ASV_85,NURSESBBP3,0,0,BP,NURSE,SB,Tyzzerella
ASV_93,POLLENSDBG1,0,0,BG,POLLEN,SD,Lactobacillus
ASV_17,GUARDSDSC1,492,1,SC,GUARD,SD,Floricoccus
ASV_96,FORAGERSDBG1,3,1,BG,FORAGER,SD,Micrococcaceae
ASV_60,LARVAESBBP2,2,0,BP,LARVAE,SB,Enterobacterales
ASV_30,NURSESDBG2,0,0,BG,NURSE,SD,Klebsiella
ASV_96,GUARDSDSC2,632,1,SC,GUARD,SD,Micrococcaceae
ASV_62,LARVAE1SDBP2,0,0,BP,LARVAE,SD,Acinetobacter
ASV_76,FORAGERSBSC1,0,0,SC,FORAGER,SB,Sphingobacterium
ASV_55,FORAGERSDBP1,986,1,BP,FORAGER,SD,Bombilactobacillus
ASV_484,POLLENSDSC2,0,0,SC,POLLEN,SD,Bifidobacterium
ASV_60,LARVAE1SDBP4,0,0,BP,LARVAE,SD,Enterobacterales
ASV_12,FOODSBBP3,0,0,BP,FOOD,SB,Pectinatus
ASV_86,NURSESDBG2,300,1,BG,NURSE,SD,Acetobacteraceae
ASV_44,HONEYSBBP3,0,0,BP,HONEY,SB,Erysipelatoclostridium
ASV_83,FOODSBBP4,0,0,BP,FOOD,SB,Corynebacterium
ASV_44,HONEYSBSC1,0,0,SC,HONEY,SB,Erysipelatoclostridium
ASV_484,POLLENSBBP3,0,0,BP,POLLEN,SB,Bifidobacterium
ASV_60,NURSESBBP3,5,0,BP,NURSE,SB,Enterobacterales
ASV_86,LARVAESBSC2,0,0,SC,LARVAE,SB,Acetobacteraceae
ASV_93,POLLENSDSC2,0,0,SC,POLLEN,SD,Lactobacillus
ASV_439,HONEYSDBG1,0,0,BG,HONEY,SD,Bifidobacteriaceae
ASV_12,FORAGERSBSC1,0,0,SC,FORAGER,SB,Pectinatus
ASV_86,FOODSBBP3,164,0,BP,FOOD,SB,Acetobacteraceae
ASV_543,POLLENSBBP3,10,0,BP,POLLEN,SB,Taibaiella
ASV_76,GUARDSDSC1,543,1,SC,GUARD,SD,Sphingobacterium
ASV_543,HONEYSBBG2,0,0,BG,HONEY,SB,Taibaiella
ASV_439,FORAGERSBBP4,943,0,BP,FORAGER,SB,Bifidobacteriaceae
ASV_85,LARVAE1SDBP4,1231,1,BP,LARVAE,SD,Tyzzerella
ASV_85,HONEYSDBP1,0,0,BP,HONEY,SD,Tyzzerella
ASV_76,FORAGERSBBP4,0,0,BP,FORAGER,SB,Sphingobacterium
ASV_96,FORAGERSDBG2,0,0,BG,FORAGER,SD,Micrococcaceae
ASV_85,GUARDSDBG1,0,0,BG,GUARD,SD,Tyzzerella
ASV_44,FORAGERSDBP2,0,0,BP,FORAGER,SD,Erysipelatoclostridium
